company,location,text,label
ABC Chemicals,Raipur,"Tender for furnace oil supply",FO
XYZ Infra,Nagpur,"Road construction project tender",Bitumen
MarineCo,Mumbai,"Bunker fuel requirement for vessels",Marine Fuel
PowerGen Ltd,Odisha,"New captive power plant commissioning",HSD
SteelCore,Raigarh,"Requirement of furnace oil for rolling mill",FO
BuildMax,Pune,"Bitumen procurement for highway expansion",Bitumen
Oceanic Lines,Kochi,"Marine fuel supply for cargo ships",Marine Fuel
ThermoPower,Chhattisgarh,"HSD needed for diesel generators",HSD
ChemPro,Ankleshwar,"Annual furnace oil contract",FO
InfraLink,Indore,"Bitumen tender for flyover construction",Bitumen
SeaTrans,Chennai,"Marine fuel requirement for port operations",Marine Fuel
GenX Power,Jharkhand,"HSD supply for backup power systems",HSD
AlloyWorks,Bhilai,"Furnace oil purchase for foundry",FO
RoadBuild Ltd,Jaipur,"Bitumen supply for state highways",Bitumen
BlueWave Shipping,Mumbai,"Marine fuel requirement for container fleet",Marine Fuel
DieselTech,Patna,"HSD for industrial machinery",HSD
PetroChemix,Vadodara,"Furnace oil for chemical processing unit",FO
UrbanInfra,Bhopal,"Bitumen tender for city road repair",Bitumen
HarborLines,Vizag,"Marine fuel supply for docking vessels",Marine Fuel
ElectroGen,Assam,"HSD for power backup generators",HSD
IronForge,Durg,"Bulk furnace oil requirement",FO
MegaInfra,Lucknow,"Bitumen requirement for expressway project",Bitumen
SeaBridge,Kandla,"Marine fuel tender for port vessels",Marine Fuel
AgroPower,Punjab,"HSD for agro-based power plant",HSD
ChemWorks,Panipat,"Furnace oil for manufacturing operations",FO
HighwayCorp,Surat,"Bitumen supply for NH project",Bitumen
NavalTrans,Goa,"Marine fuel requirement for patrol vessels",Marine Fuel
PowerServe,Ranchi,"HSD procurement for DG sets",HSD
MetalCast,Kolhapur,"Furnace oil supply contract",FO
CityInfra,Noida,"Bitumen for urban road resurfacing",Bitumen
OceanFleet,Mangalore,"Marine fuel supply for fishing vessels",Marine Fuel
BackupGen,Meerut,"HSD for emergency power systems",HSD
RefineChem,Dahej,"Furnace oil for refinery operations",FO
RoadWays,Amritsar,"Bitumen tender for bypass road",Bitumen
SeaLogistics,Tuticorin,"Marine fuel supply for export vessels",Marine Fuel
IndusPower,Bellary,"HSD requirement for thermal plant",HSD
FoundryPlus,Howrah,"Furnace oil for casting unit",FO
InfraPrime,Gwalior,"Bitumen procurement for ring road",Bitumen
MaritimeOps,Porbandar,"Marine fuel requirement for coastal ships",Marine Fuel
GenVolt,Nashik,"HSD for industrial generators",HSD
ChemZone,Vapi,"Furnace oil tender for chemical unit",FO
BuildRight,Udaipur,"Bitumen for road widening project",Bitumen
OceanRoute,Paradip,"Marine fuel supply for bulk carriers",Marine Fuel
RuralPower,Bihar,"HSD for village electrification DGs",HSD
SteelLine,Angul,"Furnace oil requirement for steel plant",FO
InfraAxis,Faridabad,"Bitumen tender for service roads",Bitumen
PortLink,Haldia,"Marine fuel supply for port crafts",Marine Fuel
